Date : 2024-04-21 15:47:42
Directory : c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src
Total : 66 files,  2486 codes, 37 comments, 428 blanks, all 2951 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         32 |      1,267 |         29 |        246 |      1,542 |
| SCSS             |         22 |        891 |          0 |        140 |      1,031 |
| JavaScript       |          4 |        183 |          5 |         32 |        220 |
| XML              |          6 |        102 |          3 |          2 |        107 |
| CSS              |          2 |         43 |          0 |          8 |         51 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |         66 |      2,486 |         37 |        428 |      2,951 |
| . (Files)                                                                                                                                                |          5 |        122 |         23 |         21 |        166 |
| assets                                                                                                                                                   |          5 |         87 |          3 |          1 |         91 |
| components                                                                                                                                               |         27 |      1,195 |          6 |        181 |      1,382 |
| components\Layout                                                                                                                                        |          1 |         13 |          0 |          2 |         15 |
| components\admin-card-user                                                                                                                               |          2 |        438 |          6 |         43 |        487 |
| components\button                                                                                                                                        |          2 |         57 |          0 |         10 |         67 |
| components\cart-dropdown                                                                                                                                 |          2 |         78 |          0 |         14 |         92 |
| components\cart-icon                                                                                                                                     |          2 |         36 |          0 |          8 |         44 |
| components\cart-item                                                                                                                                     |          2 |         34 |          0 |          6 |         40 |
| components\category-preview                                                                                                                              |          2 |         35 |          0 |          7 |         42 |
| components\checkout-item                                                                                                                                 |          2 |         68 |          0 |         13 |         81 |
| components\directory                                                                                                                                     |          2 |         27 |          0 |          7 |         34 |
| components\directory-item                                                                                                                                |          2 |         80 |          0 |         16 |         96 |
| components\form-input                                                                                                                                    |          2 |         64 |          0 |         12 |         76 |
| components\product-categories-section-admin                                                                                                              |          2 |         80 |          0 |         12 |         92 |
| components\product_card                                                                                                                                  |          2 |         69 |          0 |         14 |         83 |
| components\user-section-admin                                                                                                                            |          2 |        116 |          0 |         17 |        133 |
| contexts                                                                                                                                                 |          5 |        288 |          0 |         65 |        353 |
| routes                                                                                                                                                   |         20 |        611 |          0 |        128 |        739 |
| routes\admin                                                                                                                                             |          2 |         15 |          0 |          9 |         24 |
| routes\categories-preview                                                                                                                                |          1 |         17 |          0 |          3 |         20 |
| routes\category                                                                                                                                          |          2 |         55 |          0 |         13 |         68 |
| routes\checkout                                                                                                                                          |          2 |         94 |          0 |         16 |        110 |
| routes\footer                                                                                                                                            |          2 |         46 |          0 |          7 |         53 |
| routes\home                                                                                                                                              |          1 |         16 |          0 |          7 |         23 |
| routes\navigation                                                                                                                                        |          2 |         82 |          0 |         15 |         97 |
| routes\page_not_found                                                                                                                                    |          2 |         25 |          0 |          4 |         29 |
| routes\shop                                                                                                                                              |          2 |         19 |          0 |          4 |         23 |
| routes\sign-in-form                                                                                                                                      |          2 |        114 |          0 |         24 |        138 |
| routes\sign-up-form                                                                                                                                      |          2 |        128 |          0 |         26 |        154 |
| utils                                                                                                                                                    |          4 |        183 |          5 |         32 |        220 |
| utils\firebase                                                                                                                                           |          3 |        180 |          5 |         32 |        217 |
| utils\reducer                                                                                                                                            |          1 |          3 |          0 |          0 |          3 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
